[2024-08-17 19:26:18,412: INFO: main: Welcome to our customer log]
[2024-08-17 20:39:03,033: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-17 20:39:03,036: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-17 20:39:03,037: INFO: common: created directory at: artifacts]
[2024-08-17 20:39:03,038: INFO: common: created directory at: artifacts/data_ingestion]
[2024-08-17 20:39:03,038: INFO: 986331348: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-08-17 20:39:11,022: INFO: 986331348: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-08-17 20:47:10,272: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-08-17 20:47:10,273: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-17 20:47:10,274: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-17 20:47:10,274: INFO: common: created directory at: artifacts]
[2024-08-17 20:47:10,274: INFO: common: created directory at: artifacts/data_ingestion]
[2024-08-17 20:47:10,274: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-08-17 20:47:20,835: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-08-17 20:47:21,175: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
